Index Minute	Date and Time	"O3 (October, ppb)"	Temperature (°C)	Relative Humidity (%)
1	10/19/2014 0:30	14.5	11.4	46.0
2	10/19/2014 1:29	16.3	10.9	48.7
3	10/19/2014 2:29	12.2	9.7	52.7
4	10/19/2014 3:29	12.2	9.0	55.7
5	10/19/2014 4:29	9.9	8.3	58.3
6	10/19/2014 5:29	8.6	9.2	53.0
7	10/19/2014 6:29	8.2	8.3	57.0
8	10/19/2014 7:29	8.6	6.4	69.3
9	10/19/2014 8:29	8.3	9.1	60.0
10	10/19/2014 9:29	12.4	10.4	55.7
11	10/19/2014 10:29	17.8	13.5	44.3
12	10/19/2014 11:29	27.6	17.3	30.3
13	10/19/2014 12:29	34.1	20.0	26.3
14	10/19/2014 13:29	39.7	21.3	24.3
15	10/19/2014 14:29	41.4	23.3	21.3
16	10/19/2014 15:29	40.2	23.6	20.7
17	10/19/2014 16:29	39.6	23.4	20.0
18	10/19/2014 17:29	38.4	22.5	22.0
19	10/19/2014 18:29	39.1	21.1	24.3
20	10/19/2014 19:29	39.5	18.4	31.0
21	10/19/2014 20:29	33.4	17.5	33.7
22	10/19/2014 21:29	18.9	16.2	40.3
23	10/19/2014 22:29	10.6	15.9	42.0
24	10/19/2014 23:29	9.6	15.4	44.3
25	10/20/2014 0:29	11.3	12.9	53.3
26	10/20/2014 1:29	10.8	11.7	55.7
27	10/20/2014 2:29	8.0	10.2	64.0
28	10/20/2014 3:29	5.4	9.9	64.3
29	10/20/2014 4:29	4.3	8.8	67.7
30	10/20/2014 5:29	3.4	8.9	67.0
31	10/20/2014 6:29	2.1	6.7	77.0
32	10/20/2014 7:29	2.9	7.3	74.3
33	10/20/2014 8:29	4.3	10.5	63.3
34	10/20/2014 9:29	10.3	13.2	52.7
35	10/20/2014 10:29	17.3	15.5	47.0
36	10/20/2014 11:29	21.4	18.7	36.7
37	10/20/2014 12:29	27.3	21.4	29.3
38	10/20/2014 13:29	33.3	23.3	25.7
39	10/20/2014 14:29	36.2	24.5	22.7
40	10/20/2014 15:29	37.2	25.4	20.3
41	10/20/2014 16:29	36.7	25.5	20.0
42	10/20/2014 17:29	34.6	23.5	26.7
43	10/20/2014 18:29	33.2	21.2	31.7
44	10/20/2014 19:29	25.7	19.5	35.7
45	10/20/2014 20:29	18.4	17.8	43.7
46	10/20/2014 21:29	15.7	15.2	50.7
47	10/20/2014 22:29	12.9	14.2	55.0
48	10/20/2014 23:29	11.2	13.6	56.0
49	10/21/2014 0:29	11.5	13.4	62.0
50	10/21/2014 1:29	10.2	12.9	59.3
51	10/21/2014 2:29	10.6	11.5	64.3
52	10/21/2014 3:29	6.1	12.0	64.7
53	10/21/2014 4:29	4.5	12.1	62.0
54	10/21/2014 5:29	4.9	11.8	64.3
55	10/21/2014 6:29	2.4	12.1	64.3
56	10/21/2014 7:29	2.5	12.2	65.3
57	10/21/2014 8:29	3.4	13.0	62.3
58	10/21/2014 9:29	4.5	14.2	59.0
59	10/21/2014 10:29	15.3	16.7	48.7
60	10/21/2014 11:29	21.2	18.8	41.0
61	10/21/2014 12:29	24.0	19.1	39.7
62	10/21/2014 13:29	27.0	20.1	36.0
63	10/21/2014 14:29	29.1	20.8	35.0
64	10/21/2014 15:29	29.3	20.6	37.0
65	10/21/2014 16:29	29.4	20.2	38.7
66	10/21/2014 17:29	27.9	19.2	43.0
67	10/21/2014 18:29	24.9	17.7	47.3
68	10/21/2014 19:29	17.7	16.7	53.0
69	10/21/2014 20:29	23.7	15.5	58.3
70	10/21/2014 21:29	18.4	13.9	64.0
71	10/21/2014 22:29	10.3	13.2	64.7
72	10/21/2014 23:29	7.4	12.9	63.3
73	10/22/2014 0:29	8.9	12.0	67.0
74	10/22/2014 1:29	17.7	13.5	71.7
75	10/22/2014 2:29	16.1	11.3	87.0
76	10/22/2014 3:29	9.5	10.2	89.3
77	10/22/2014 4:29	7.2	10.9	83.7
78	10/22/2014 5:29	4.7	10.9	83.7
79	10/22/2014 6:29	3.7	9.9	86.0
80	10/22/2014 7:29	2.3	8.6	90.7
81	10/22/2014 8:29	3.4	10.7	82.7
82	10/22/2014 9:29	6.9	11.9	78.0
83	10/22/2014 10:29	16.9	14.6	66.3
84	10/22/2014 11:29	26.6	17.5	52.3
85	10/22/2014 12:29	32.3	19.3	44.0
86	10/22/2014 13:29	38.2	20.7	38.3
87	10/22/2014 14:29	37.2	21.0	33.3
88	10/22/2014 15:29	35.6	22.4	27.0
89	10/22/2014 16:29	35.5	22.5	27.7
90	10/22/2014 17:29	36.5	21.3	28.0
91	10/22/2014 18:29	37.0	18.9	29.7
92	10/22/2014 19:29	37.4	15.3	50.7
93	10/22/2014 20:29	13.5	12.0	51.0
94	10/22/2014 21:29	10.7	11.0	55.3
95	10/22/2014 22:29	4.8	10.9	57.7
96	10/22/2014 23:29	4.3	10.0	57.3
97	10/23/2014 0:00	7.5	10.0	55.0
